Time Lon Lat Dep(km) Mag
2015-06-12T11:07:08.040000Z -173.0098 -15.6758 48.0 6.0
2015-06-10T13:52:09.770000Z -68.4323 -22.4 124.0 6.0
2015-06-08T06:01:08.300000Z 142.0308 41.5615 42.0 6.1
2015-06-04T23:15:43.910000Z 116.5409 5.9867 10.0 6.0
2015-05-30T18:49:07.340000Z 142.9722 30.7856 6.05 6.2
2015-05-30T17:18:35.040000Z -173.3817 -15.7216 10.0 6.0
2015-05-30T11:23:02.110000Z 140.4931 27.8386 664.0 7.8
2015-05-29T07:00:09.000000Z -156.43 56.594 72.6 6.7
2015-05-24T14:38:59.510000Z -175.9627 -19.3933 10.0 6.2
2015-05-24T04:53:23.630000Z -14.1708 -16.855 10.0 6.3
2015-05-22T23:59:33.770000Z 163.2154 -11.1093 10.0 6.8
2015-05-22T21:45:19.480000Z 163.6959 -11.0559 11.19 6.9
2015-05-20T22:48:53.420000Z 164.1694 -10.8759 11.0 6.8
2015-05-20T00:30:54.700000Z -175.5247 -19.3021 203.0 6.0
2015-05-19T15:25:21.080000Z -132.1618 -54.3312 7.2 6.7
2015-05-15T20:26:56.870000Z 102.2191 -2.542 151.0 6.0
2015-05-12T21:12:58.890000Z 142.0317 38.9056 35.0 6.8
2015-05-12T07:36:54.490000Z 86.1617 27.625 15.0 6.3
2015-05-12T07:05:19.730000Z 86.0655 27.8087 15.0 7.3
2015-05-10T21:25:46.440000Z 142.0157 31.2373 6.0 6.0
2015-05-07T07:10:19.590000Z 154.5567 -7.2175 10.0 7.1
2015-05-05T01:44:06.380000Z 151.8751 -5.4624 55.0 7.5
2015-05-03T22:32:39.010000Z 151.6757 -5.6314 24.0 6.0
2015-05-01T08:06:52.250000Z 151.8715 -5.4912 35.0 6.0
2015-05-01T08:06:03.480000Z 151.7773 -5.2005 44.0 6.8
2015-04-30T10:45:02.930000Z 151.7706 -5.375 31.0 6.7
2015-04-28T16:39:39.190000Z -178.6329 -20.8865 581.0 6.1
2015-04-26T07:09:10.670000Z 86.0173 27.7711 22.91 6.7
2015-04-25T06:45:21.320000Z 84.8216 28.2244 10.0 6.6
2015-04-25T06:15:22.910000Z 85.5398 27.6285 10.0 6.1
2015-04-25T06:11:25.950000Z 84.7314 28.2305 8.22 7.8
2015-04-24T13:56:15.180000Z -130.7714 51.6148 8.0 6.2
2015-04-24T03:36:42.400000Z 173.0066 -42.0602 48.0 6.1
2015-04-22T22:57:15.650000Z 166.432 -12.039 72.0 6.2
2015-04-20T12:00:00.070000Z 122.4532 24.0471 29.0 6.1
2015-04-20T11:45:13.440000Z 122.453 24.0851 29.0 6.0
2015-04-20T01:42:58.380000Z 122.3158 24.2026 29.0 6.4
2015-04-17T15:52:51.480000Z -178.6005 -15.8815 10.0 6.5
2015-04-16T18:07:43.610000Z 26.8235 35.1891 20.0 6.0
2015-04-07T00:46:21.830000Z -173.2247 -15.1676 30.0 6.3
